,id,title,overview,popularity,release_date,vote_average,vote_count
41,1430077,Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",83.2598,2026-04-29,6.98,374
42,1285951,Chapter 51,"An elusive serial killer known as the Hollywood Killer turns a high-profile film production into a grisly crime scene, murdering three actresses and casting a dark shadow over the troubled project. As fear, speculation, and chaos spread behind the cameras, the production becomes forever linked to a case that shocks Hollywood and remains unresolved. Years later, former FBI agent Thomas Scott reopens the cold case, revisiting the events surrounding the murders and uncovering secrets that refuse to stay buried.",6.1966,2026-06-23,0.0,0
43,1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",35.8637,2025-07-09,7.339,4918
44,1314481,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",35.2646,2026-04-29,6.549,830
45,1302904,Practical Magic 2,The Owens sisters must confront the dark curse that threatens to unravel their family once and for all.,3.6384,2026-09-09,0.0,0
46,950028,The Invite,"Joe and Angela’s marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?",8.2604,2026-06-25,0.0,0
47,1266127,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",30.113,2026-03-19,7.702,1099
48,1284465,The Death of Robin Hood,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.",25.0408,2026-06-18,6.5,26
49,1612018,Jackass: Best and Last,The fifth and final installment to Jackass franchise where the crew go on one last insane crusade.,9.1506,2026-06-25,0.0,0
50,1594694,Lydia and the Mist Rider,"When her older brother Thaddeus is mysteriously kidnapped by the Spellbinder, 11-year-old Lydia sets off to find him in the Misty Sea. Picked up by the crew of a flying ship, the Dolphin, Lydia becomes the apprentice of Ambrosia, a Stargazer. Ambrosia is trying to find other children who have disappeared, including her own son. Determined to solve the mystery, Lydia must learn stargazing magic and ready herself to confront the Spellbinder.",3.1268,2026-02-20,0.0,0
51,1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",15.1767,2025-12-19,7.4,1876
52,1390300,Over Your Dead Body,"A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.",49.7071,2026-03-14,6.565,323
53,1392469,Cocktail 2,"After a decade together, Diya and Kunal's relationship is shaken when Ally, an old friend, re-enters their lives. What begins as a plan between two women spirals into chaos, triggering hilarious, emotional rollercoaster none of them saw coming.",612.4279,2026-06-19,6.3,10
54,1166599,Love Is the Monster,"A couple, Ana and Justin, rocked by infidelity, attend an exclusive couples retreat in Finland, under the golden rays of the summer’s midnight sun. They join other couples from other parts of the world to experience the transformative teachings of the shaman and healer, Tiina, inspired by the ancient Finnish goddess of love and fertility, Lempo. But the idyllic setting soon takes a turn...",3.6984,2025-10-13,5.5,2
55,1515899,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),"Captured during Billie Eilish's sold-out world tour, a concert experience from one of the most celebrated and successful artists of her generation, presented in immersive 3D.",8.4985,2026-05-06,7.5,23
56,1699970,The Welcome Table,"Tells the story of climate refugees across six continents, celebrating the voices and experiences of people living at the forefront of the climate crisis, displaced from their homes by climate disasters.",3.3646,2026-06-23,1.0,1
57,1325734,The Drama,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,36.8261,2026-04-01,7.0,1080
58,1184941,Blue Heron,"In the late 1990s, a family of six settles into their new home on Vancouver Island, as internal dynamics are slowly revealed through the experiences of the youngest child, Sasha. Their fresh start is interrupted by the increasingly dangerous behavior of Jeremy, the family's oldest child.",6.8297,2026-03-21,7.4,12
59,467905,How to Make a Killing,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",14.9288,2026-02-16,7.0,480
